어린이집명,어린이집유,보육교사_1인당_아동수,충족률,어린이집개수
BeBe스쿨어린이집,가정,2.571428571,0.9,13
DYPNF 직장어린이집,직장,1.5,0.1875,5
e-다솔어린이집,가정,2.166666667,0.684210526,13
KB강서어린이집,직장,3,0.685714286,10
LG CNS어린이집,직장,2.416666667,0.828571429,3
LG이노텍 서울어린이집,직장,2.083333333,0.833333333,1
N젤어린이집,직장,2,0.866666667,4
강서구청어린이집,직장,2.266666667,0.693877551,7
강서어린이집,민간,5.571428571,0.393939394,6
강서한강자이어린이집,민간,3.823529412,0.928571429,11
강서햇빛발도르프어린이집,협동,2.428571429,0.485714286,8
강서힐스테이트어린이집,민간,3.666666667,0.268292683,13
개구리 어린이집,협동,2.571428571,0.5625,11
고모랑이모랑어린이집,가정,1.5,0.1875,6
고운아이어린이집,가정,2.857142857,1,8
고은쁘띠에꼴어린이집,민간,3.4,0.85,4
공간어린이집,민간,3.333333333,0.638297872,8
구립 가양 어린이집,국공립,5.5,0.885057471,4
구립 가온어린이집,국공립,2.5,1,6
구립 강변어린이집,국공립,4.3,0.754385965,10
구립 꼬꼬마라인어린이집,국공립,2.5,1,13
구립 노블키즈어린이집,국공립,2.375,0.95,9
구립 늘사랑어린이집,국공립,1.818181818,1,1
구립 드보라어린이집,국공립,2,0.947368421,14
구립 뜰아래어린이집,국공립,2.375,1,8
구립 라온어린이집,국공립,3.866666667,0.865671642,8
구립 모아어린이집,국공립,2,0.9,13
구립 밤비어린이집,국공립,2.5,1,10
구립 배다리어린이집,국공립,5.8,0.734177215,3
구립 보솜어린이집,국공립,2.3,0.821428571,13
구립 뽄다어린이집,국공립,2,1,7
구립 새하늘어린이집,국공립,5.8,0.945652174,7
구립 샛별어린이집,국공립,2,0.947368421,11
구립 소은어린이집,국공립,2.375,1,5
구립 스마일어린이집,국공립,2.857142857,1,12
구립 신태양어린이집,국공립,4.9375,0.797979798,12
구립 아기별어린이집,국공립,2.857142857,1,9
구립 아이나무어린이집,국공립,3.666666667,0.916666667,6
구립 아이솔 어린이집,국공립,4,0.676056338,5
구립 아이편한어린이집,국공립,3.666666667,0.846153846,7
구립 엔젤아이어린이집,국공립,2.285714286,1,11
구립 엠밸리큰나무어린이집,국공립,3.071428571,0.614285714,4
구립 염창별하어린이집,국공립,3,0.933333333,8
구립 우장숲어린이집,국공립,4.071428571,0.791666667,5
구립 이든아이어린이집,국공립,4.181818182,0.779661017,7
구립 진로어린이집,국공립,2.375,1,12
구립 청솔어린이집,국공립,1.714285714,0.631578947,13
구립 코알라아가마을어린이집,국공립,2,1,7
구립 큰별어린이집,국공립,2.5,1,12
구립 태진한솔어린이집,국공립,2.111111111,1,7
구립 푸른별어린이집,국공립,1.666666667,1,9
구립 푸른솔어린이집,국공립,2.25,0.947368421,5
구립 피노키오어린이집,국공립,2.5,0.520833333,12
구립 하나로어린이집,국공립,2.222222222,1,8
구립 하늘마음어린이집,국공립,2.733333333,0.803921569,9
구립 하늘숲어린이집,국공립,4.733333333,0.855421687,5
구립 한빛어린이집,국공립,3.703703704,0.757575758,7
구립 한숲어린이집,국공립,2,0.8,8
구립 해담어린이집,국공립,4.2,0.863013699,12
구립 해뜰어린이집,국공립,2.307692308,0.857142857,8
구립공항어린이집,국공립,3.421052632,0.625,5
구립대우주어린이집,국공립,2,1,7
구립볏고을어린이집,국공립,5,0.755813953,4
국공립 가양 7 어린이집,국공립,3.846153846,0.632911392,6
굿모닝어린이집,가정,2.857142857,1,14
귀염이어린이집,가정,2.222222222,1,2
근로복지공단 강서어린이집,법인?단체등,3.653846154,0.833333333,11
근로복지공단 곰달래어린이집,법인?단체등,3.210526316,0.871428571,7
근로복지공단 등촌어린이집,법인?단체등,2.666666667,0.547945205,8
까꿍어린이집,가정,1.333333333,0.333333333,9
까치산어린이집,국공립,6,0.911392405,12
꼬마궁어린이집,가정,2,0.857142857,9
꼬마별어린이집,가정,1.857142857,0.684210526,16
꼬마숲어린이집,민간,4.1,1,12
꼬모어린이집,가정,2.5,1,7
꿈꾸는어린이집,민간,3.375,0.574468085,8
꿈나무어린이집,가정,2.142857143,0.789473684,14
꿈땅어린이집,가정,2,0.421052632,9
꿈비어린이집,민간,2.75,0.488888889,12
꿈사랑어린이집,가정,2.333333333,0.736842105,13
꿈을여는어린이집,민간,4.05,0.818181818,8
꿈이있는어린이집,가정,2,0.736842105,7
꿈초롱어린이집,가정,2.166666667,1,7
나래어린이집,국공립,2.916666667,0.921052632,13
나무와숲어린이집,가정,2.5,1,11
나무와열매어린이집,민간,3.95,0.797979798,11
늘푸른어린이집,민간,4.25,0.871794872,9
늘품어린이집,민간,2.5,0.384615385,12
다니엘어린이집,가정,2,0.3,9
다해영재어린이집,민간,4.214285714,0.842857143,11
단꿈어린이집,가정,2.714285714,0.95,3
단비어린이집,국공립,2.888888889,0.764705882,3
단이슬어린이집,국공립,4.125,0.985074627,6
단향어린이집,가정,1.142857143,0.571428571,11
달님별님어린이집,가정,2.375,0.95,8
대림어린이집,가정,2.166666667,0.65,12
더조은영재어린이집,가정,3.333333333,1,14
도담어린이집,가정,2.714285714,0.95,13
도토리어린이집,가정,2.5,0.75,8
동광어린이집,가정,2.666666667,0.8,8
동그라미어린이집,가정,2.6,0.65,12
동글동글어린이집,가정,1.833333333,0.916666667,10
동부해맑은어린이집,가정,3,0.947368421,4
동산어린이집,민간,7.090909091,0.590909091,8
동성스마일어린이집,가정,3,0.9,12
동성어린이집,민간,4.533333333,0.871794872,11
동아어린이집,가정,2.5,1,5
동화나라어린이집,가정,2.4,0.6,13
두빛나래터발도르프어린이집,협동,2.8,0.933333333,5
둥근마음어린이집,국공립,4,0.488549618,8
드림어린이집,국공립,2.375,0.387755102,8
등촌제일어린이집,가정,3.25,0.722222222,8
디앤오 강서어린이집,직장,1.166666667,0.194444444,4
딸기어린이집,가정,2.142857143,0.75,10
또래방어린이집,가정,2.571428571,0.9,11
뚜띠어린이집,가정,1.714285714,1,8
라임어린이집,가정,3.166666667,0.95,12
레드로빈어린이집,가정,1,0.15,9
로뎀어린이집,민간,4.857142857,0.591304348,16
롯데어린이집,민간,4.1,0.953488372,9
롯데중앙연구소 mom편한 어린이집,직장,2.1,0.583333333,2
리라어린이집,민간,4.466666667,0.905405405,11
리틀빌리지어린이집,민간,6.368421053,0.96031746,9
리틀킹어린이집,직장,1.75,0.142857143,8
리틀현대아이어린이집,가정,2.375,0.95,10
마곡 이화어린이집,민간,4.117647059,0.886075949,15
마곡 행복한i어린이집,민간,1.75,0.28,9
마곡1 고운비어린이집,국공립,2.5,1,14
마곡1 하람어린이집,국공립,2.555555556,1,16
마곡10 별솔어린이집,국공립,4.142857143,1,10
마곡11 나무햇살어린이집,국공립,3.636363636,0.888888889,11
마곡12 온새미어린이집,국공립,4.777777778,0.934782609,9
마곡13 하나어린이집,국공립,5.045454545,0.925,9
마곡14 아이마당어린이집,국공립,4.411764706,0.789473684,10
마곡15 누리어린이집,국공립,4.3125,0.841463415,9
마곡2 해오름어린이집,국공립,3.1,0.794871795,13
마곡3 연두어린이집,국공립,2.888888889,0.866666667,14
마곡4 꿈의숲어린이집,국공립,2.615384615,1,11
마곡5 해맑은어린이집,국공립,5.076923077,1,14
마곡6 마곡숲어린이집,국공립,4.842105263,0.989247312,12
마곡7 미래꿈어린이집,국공립,4.294117647,0.829545455,13
마곡8 열린숲어린이집,국공립,3.705882353,0.969230769,15
마곡9 나인어린이집,국공립,4.958333333,0.975409836,13
마곡두린아이어린이집,가정,3.333333333,1,8
마곡사임당어린이집,민간,2.444444444,0.564102564,10
마곡아이숲어린이집,가정,3.333333333,1,9
마곡어린이집,가정,3.75,0.75,9
마곡자연숲어린이집,민간,2,0.378378378,10
마곡코오롱어린이집,직장,2.4,0.738461538,3
명지어린이집,가정,1,0.111111111,9
몬테소리동화나라어린이집,가정,2.5,1,18
미소가득어린이집,가정,2.25,0.947368421,14
미소담어린이집,민간,3.666666667,0.897959184,5
미소어린이집,가정,2.857142857,1,14
미즈메디어린이집,직장,1,0.157894737,10
민들레어린이집,가정,2.666666667,1,8
밀알몬테소리어린이집,민간,4.125,0.88,7
발산 빅스맘 어린이집,민간,1.333333333,0.102564103,13
발산어린이집,국공립,4.038461538,0.744680851,10
방화엔젤어린이집,민간,4.307692308,0.835820896,6
배광 어린이집,민간,3.625,0.743589744,3
버클리 어린이집,민간,2.75,0.229166667,12
베베키즈어린이집,가정,2.333333333,0.388888889,13
별강서어린이집,민간,2.857142857,0.816326531,6
별나라어린이집,가정,2.142857143,0.833333333,14
별빛어린이집,국공립,4.928571429,0.821428571,5
병아리어린이집,가정,2.714285714,1,11
보배어린이집,가정,2.2,0.785714286,8
보성어린이집,국공립,4.538461538,0.702380952,13
블루나인어린이집,직장,3.230769231,0.424242424,7
뽀로로와친구들 어린이집,가정,1.5,0.166666667,9
쁘띠아미 에꼴 어린이집,민간,3.833333333,0.567901235,10
사과나무어린이집,가정,2,0.736842105,15
사랑둥이어린이집,가정,2.666666667,0.941176471,7
사랑맘어린이집,가정,2.4,0.631578947,13
사랑샘어린이집,가정,2.222222222,1,16
사랑어린이집,가정,2.571428571,0.947368421,4
사이언스파크어린이집,직장,4.380952381,0.92,1
상록어린이집,국공립,4.875,0.866666667,5
새빛아이어린이집,가정,2,0.421052632,14
새빛어린이집,가정,2.285714286,0.8,7
새서원어린이집,가정,2.833333333,0.85,8
새소망어린이집,민간,2.666666667,0.941176471,15
새싹과 나무어린이집,가정,2.857142857,1,11
새싹어린이집,국공립,4.428571429,0.738095238,17
새영어린이집,민간,2.583333333,0.424657534,6
새자연어린이집,민간,3.4,0.472222222,9
샛별영재어린이집,가정,2.166666667,1,9
서울YMCA방화어린이집,국공립,4.125,0.733333333,6
석란어린이집,민간,3.5,0.256097561,10
성모어린이집,국공립,3.1,0.525423729,14
성민가정어린이집,가정,1.666666667,0.588235294,8
성산어린이집,민간,4.066666667,0.871428571,10
소라어린이집,가정,2.222222222,1,8
수명산어린이집,민간,2,0.342857143,12
수성어린이집,민간,5.466666667,0.911111111,7
수잔나어린이집,가정,1.833333333,0.647058824,10
숲속나라어린이집,민간,4,1,11
숲으로 가는 어린이집,가정,2.833333333,0.894736842,10
신영광어린이집,민간,1.428571429,0.3125,14
신원어린이집,국공립,4.95,0.9,6
썬에듀스쿨어린이집,민간,5.85,0.936,4
아기둥지어린이집,가정,2.375,1,3
아기새어린이집,가정,2,1,9
아기천사어린이집,가정,1.5,0.6,6
아띠어린이집,가정,2.2,0.785714286,10
아란어린이집,민간,3.3125,0.557894737,8
아름드리어린이집,가정,2.8,0.736842105,10
아이꿈어린이집,가정,2.666666667,0.533333333,13
아이꿈터어린이집,민간,1.5,0.230769231,7
아이뜰어린이집,가정,1.375,0.6875,10
아이랑어린이집,가정,2,0.777777778,9
아이린어린이집,민간,3.5,0.583333333,12
아이삭어린이집,가정,1.75,0.7,12
아이샘어린이집,국공립,5.25,0.940298507,7
아이세상어린이집,가정,2.857142857,1,2
아이큰숲아기학교어린이집,가정,2,0.470588235,10
아이큰숲자연학교어린이집,민간,4.5,0.818181818,9
아이파크어린이집,가정,2.75,0.578947368,3
아장닷컴어린이집,가정,3,0.833333333,7
아장아장어린이집,가정,2.375,0.95,10
아침해 어린이집,민간,4.111111111,1,7
애솔 어린이집,국공립,2,0.342857143,11
어린왕자어린이집,민간,3.8,0.275362319,13
엄마사랑어린이집,가정,1.8,0.6,6
엄마품어린이집,가정,2.571428571,0.947368421,4
에반어린이집,민간,4.3,0.955555556,11
엔젤어린이집,가정,2.857142857,1,14
열매어린이집,가정,0.833333333,0.333333333,6
염창누리봄어린이집,가정,2.714285714,1,10
염창어린이집,국공립,4,0.571428571,8
예꿈어린이집,가정,2.714285714,1,4
예손어린이집,민간,3.166666667,0.487179487,13
예솔어린이집,가정,2,0.3,13
예심어린이집,가정,2.333333333,0.7,9
예원비전스쿨어린이집,민간,3.4,0.472222222,9
예은어린이집,민간,5.2,0.759124088,8
오즈 어린이집,가정,2.857142857,1,11
오즈의마법사어린이집,민간,3.454545455,0.808510638,7
우리아이어린이집,가정,1.833333333,0.578947368,11
유림어린이집,민간,4.928571429,0.821428571,5
유성어린이집,민간,1.666666667,0.15625,12
유창어린이집,가정,2.857142857,1,11
은도어린이집,국공립,4.857142857,0.80952381,5
은빛어린이집,국공립,4.444444444,0.606060606,16
은초록어린이집,국공립,5.6,0.807692308,12
이레어린이집,민간,4.666666667,0.765625,11
이화의료원어린이집,직장,1.363636364,0.5,10
자연어린이집,가정,2.571428571,0.9,15
잘자람어린이집,가정,2,0.842105263,17
잼잼서밋어린이집,민간,3.666666667,0.846153846,9
제일어린이집,민간,3.555555556,0.310679612,9
조은어린이집,가정,2.142857143,0.9375,8
주연어린이집,민간,3.5,0.857142857,6
주영어린이집,민간,2.916666667,0.573770492,4
쥬빌리어린이집,가정,1,0.307692308,14
즐거운어린이집,국공립,4.714285714,0.545454545,10
지니어스어린이집,민간,4.272727273,0.959183673,8
진양아이어린이집,민간,1.5,0.162162162,10
진영꼬마숲어린이집,가정,3.333333333,0.5,11
천사어린이집,가정,2.111111111,0.95,11
청정원 마곡 어린이집,직장,1.5,0.183673469,15
초록별어린이집,가정,2.125,0.85,10
초록어린이집,국공립,5.25,0.940298507,10
초록영재어린이집,민간,3.142857143,0.564102564,10
초롱어린이집,가정,2.833333333,0.85,13
캥거루어린이집,민간,2.6,0.896551724,6
코코베베어린이집,가정,1.5,0.45,8
키즈네이션어린이집,민간,2.4,0.144578313,6
키즈파랑새어린이집,가정,3,0.473684211,7
토란어린이집,가정,2,0.315789474,11
튼튼어린이집,민간,3.571428571,0.877192982,4
튼튼키즈어린이집,민간,3.428571429,0.421052632,4
파란하늘빛어린이집,가정,2.125,0.85,2
파랑새 어린이집,민간,2.333333333,0.222222222,7
포도나무어린이집,가정,3,0.75,9
포도원어린이집,가정,2.25,0.947368421,5
푸르미어린이집,가정,2.375,1,9
푸른꿈어린이집,가정,2.714285714,0.95,8
푸른어린이집,국공립,5.818181818,0.831168831,15
프란치스코어린이집,사회복지법인,3.55,0.820809249,3
하나린어린이집,민간,5,0.903614458,10
하나영재어린이집,민간,4.6,0.621621622,12
하늘누리어린이집,가정,1.333333333,0.2,2
하늘샘어린이집,국공립,4.923076923,0.901408451,14
하얀돌어린이집,국공립,3.8,0.666666667,2
하얀마음어린이집,민간,1.714285714,0.571428571,11
하울어린이집,가정,1.75,0.7,6
하은어린이집,가정,1.833333333,0.846153846,8
하하호호어린이집,가정,2.714285714,1,6
한결어린이집,가정,2.375,1,12
한국공항공사어린이집,직장,2.7,0.635294118,0
한마음 어린이집,가정,2.571428571,0.947368421,8
한울어린이집,국공립,5.133333333,0.855555556,10
해다미어린이집,국공립,4.222222222,0.808510638,8
해맑은방과후교실어린이집,국공립,4.333333333,0.565217391,13
해바라기어린이집,국공립,4.666666667,0.53164557,8
해사랑어린이집,민간,3.625,0.707317073,11
해솔어린이집,국공립,3.529411765,0.576923077,11
해송어린이집,가정,1.833333333,0.6875,13
해아띠스쿨어린이집,민간,5.066666667,0.808510638,11
해오름어린이집,가정,3.166666667,0.95,10
해울어린이집,민간,2.7,1,7
해피랜드어린이집,가정,4,1,11
해피엔젤어린이집,민간,4.266666667,1,9
햇살어린이집,가정,2.25,0.947368421,10
행복한어린이집,가정,3.166666667,0.95,10
현대i어린이집,민간,6.166666667,1,8
현대어린이집,가정,2,1,8
현대키즈어린이집,가정,2.166666667,0.684210526,8
혜시의사과나무어린이집,민간,5.473684211,0.896551724,15
홈앤쇼핑 어린이집,직장,1.428571429,0.333333333,11
홈플러스어린이집,직장,2.266666667,0.693877551,17
화곡꼬마천사어린이집,가정,2.5,1,8
화곡어린이집,법인?단체등,5.333333333,0.813559322,9
화동교회방과후어린이집,법인?단체등,7.285714286,0.85,9
